Sample 1	Sample 1	Sample 2	Sample 2	Sample 3	Sample 3	Sample 4	Sample 4	Sample 5	Sample 5	Sample 6	Sample 6	Sample 7	Sample 7
Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity
450	14250	450	35340	450	2340	450	12.34	400	419500	575	220	400	10700
450.1	14460	450.2	34500	450.2	2720	450.2	12.33	400.5	413160	575.1	210	400.5	10630
450.2	14970	450.4	34450	450.4	2670	450.4	12.33	401	405550	575.2	210	401	11100
450.3	13570	450.6	35740	450.6	2410	450.6	12.22	401.5	397580	575.3	210	401.5	11100
450.4	14430	450.8	33290	450.8	2300	450.8	12.16	402	392940	575.4	240	402	9870
450.5	14150	451	34010	451	2650	451	12.03	402.5	386370	575.5	280	402.5	10470
450.6	13890	451.2	33010	451.2	2290	451.2	12.03	403	383900	575.6	210	403	10780
450.7	13540	451.4	33270	451.4	2500	451.4	12.03	403.5	381320	575.7	130	403.5	10650
450.8	13590	451.6	32800	451.6	2360	451.6	12.05	404	376970	575.8	240	404	10770
450.9	13190	451.8	32560	451.8	2700	451.8	11.91	404.5	404230	575.9	230	404.5	10750
451	13410	452	32890	452	2350	452	11.9	405	490270	576	280	405	10350
451.1	13230	452.2	33570	452.2	2420	452.2	11.88	405.5	618970	576.1	270	405.5	10250
451.2	13350	452.4	32820	452.4	2330	452.4	11.73	406	699120	576.2	200	406	10080
451.3	13250	452.6	32840	452.6	2660	452.6	11.72	406.5	656920	576.3	170	406.5	10370
451.4	12680	452.8	32520	452.8	2420	452.8	11.64	407	514500	576.4	180	407	9800
451.5	12840	453	32440	453	2300	453	11.57	407.5	404360	576.5	240	407.5	10510
451.6	13300	453.2	31450	453.2	2440	453.2	11.55	408	363550	576.6	300	408	9780
451.7	14140	453.4	31650	453.4	1800	453.4	11.41	408.5	364130	576.7	250	408.5	9650
451.8	13580	453.6	30690	453.6	2280	453.6	11.39	409	371310	576.8	220	409	9290
451.9	13400	453.8	31100	453.8	2340	453.8	11.2	409.5	405450	576.9	240	409.5	8660
452	13680	454	30010	454	2060	454	11.29	410	453400	577	250	410	8430
452.1	13240	454.2	31250	454.2	2120	454.2	11.17	410.5	476370	577.1	170	410.5	7640
452.2	13890	454.4	30950	454.4	2060	454.4	11.13	411	471520	577.2	330	411	6800
452.3	12730	454.6	31300	454.6	2210	454.6	11.18	411.5	458670	577.3	370	411.5	6520
452.4	13270	454.8	30440	454.8	2270	454.8	11.12	412	470410	577.4	230	412	6820
452.5	13650	455	30410	455	1850	455	11.06	412.5	497730	577.5	260	412.5	7030
452.6	13230	455.2	30170	455.2	2210	455.2	10.98	413	551340	577.6	290	413	6750
452.7	12970	455.4	30000	455.4	2090	455.4	10.95	413.5	605540	577.7	220	413.5	7220
452.8	12190	455.6	29560	455.6	2250	455.6	10.88	414	607380	577.8	190	414	7980
452.9	13650	455.8	29680	455.8	1960	455.8	10.81	414.5	562180	577.9	260	414.5	7270
453	12970	456	29720	456	2180	456	10.71	415	545280	578	190	415	7560
453.1	13270	456.2	30410	456.2	2120	456.2	10.59	415.5	576250	578.1	210	415.5	7420
453.2	12880	456.4	29380	456.4	1880	456.4	10.63	416	645770	578.2	260	416	6750
453.3	12530	456.6	29990	456.6	1860	456.6	10.63	416.5	658940	578.3	190	416.5	6780
453.4	13000	456.8	29560	456.8	2340	456.8	10.54	417	599130	578.4	230	417	7640
453.5	12510	457	29120	457	2190	457	10.6	417.5	518290	578.5	230	417.5	7030
453.6	12690	457.2	30640	457.2	2080	457.2	10.56	418	436150	578.6	200	418	6230
453.7	12460	457.4	29410	457.4	2030	457.4	10.45	418.5	378960	578.7	190	418.5	6230
453.8	12890	457.6	29500	457.6	1990	457.6	10.4	419	342870	578.8	230	419	6530
453.9	12860	457.8	30780	457.8	2090	457.8	10.35	419.5	324410	578.9	240	419.5	6040
454	13050	458	29340	458	2360	458	10.31	420	311750	579	140	420	5240
454.1	12900	458.2	29570	458.2	2160	458.2	10.38	420.5	299590	579.1	250	420.5	6050
454.2	12660	458.4	29860	458.4	2340	458.4	10.39	421	292950	579.2	200	421	5940
454.3	12980	458.6	28610	458.6	2070	458.6	10.43	421.5	285660	579.3	140	421.5	5580
454.4	13450	458.8	28630	458.8	2270	458.8	10.4	422	279400	579.4	110	422	5520
454.5	12520	459	28470	459	2030	459	10.58	422.5	279660	579.5	140	422.5	5680
454.6	12690	459.2	27640	459.2	2080	459.2	10.61	423	277310	579.6	130	423	5360
454.7	12970	459.4	28740	459.4	2260	459.4	10.58	423.5	279260	579.7	190	423.5	5290
454.8	13510	459.6	28080	459.6	2190	459.6	10.59	424	279480	579.8	200	424	5990
454.9	12950	459.8	28780	459.8	2100	459.8	10.56	424.5	283160	579.9	220	424.5	5700
455	12490	460	28560	460	2310	460	10.43	425	289280	580	180	425	5040
455.1	12820	460.2	28550	460.2	2180	460.2	10.44	425.5	287250	580.1	150	425.5	5240
455.2	13010	460.4	27540	460.4	2050	460.4	10.43	426	285990	580.2	240	426	5350
455.3	12760	460.6	28280	460.6	2080	460.6	10.47	426.5	280540	580.3	190	426.5	4990
455.4	12880	460.8	29310	460.8	2050	460.8	10.39	427	283300	580.4	140	427	5410
455.5	12770	461	27850	461	1980	461	10.52	427.5	274740	580.5	220	427.5	5490
455.6	12640	461.2	27450	461.2	1860	461.2	10.5	428	271160	580.6	260	428	5200
455.7	12690	461.4	28600	461.4	2090	461.4	10.39	428.5	270340	580.7	260	428.5	5080
455.8	12320	461.6	28020	461.6	1800	461.6	10.27	429	268360	580.8	360	429	5070
455.9	12990	461.8	27890	461.8	2060	461.8	10.26	429.5	267110	580.9	360	429.5	5220
456	11990	462	28740	462	1950	462	10.34	430	275730	581	380	430	5410
456.1	12000	462.2	28350	462.2	2140	462.2	10.29	430.5	286930	581.1	300	430.5	5460
456.2	12110	462.4	28250	462.4	2140	462.4	10.27	431	296240	581.2	430	431	5420
456.3	12260	462.6	29980	462.6	2140	462.6	10.16	431.5	303360	581.3	280	431.5	5270
456.4	12590	462.8	28460	462.8	1980	462.8	10.18	432	314990	581.4	380	432	5390
456.5	12170	463	28250	463	2340	463	10.15	432.5	314680	581.5	400	432.5	5390
456.6	13000	463.2	29530	463.2	2260	463.2	10.19	433	317240	581.6	400	433	4760
456.7	12560	463.4	28740	463.4	1880	463.4	10.13	433.5	323850	581.7	590	433.5	5430
456.8	12780	463.6	28870	463.6	2360	463.6	10.08	434	340500	581.8	410	434	5990
456.9	11280	463.8	28520	463.8	1930	463.8	10.05	434.5	365030	581.9	530	434.5	5660
457	12130	464	28850	464	2090	464	10.06	435	410440	582	550	435	5840
457.1	11540	464.2	29170	464.2	1720	464.2	9.967	435.5	437150	582.1	430	435.5	6170
457.2	12190	464.4	27490	464.4	1910	464.4	9.922	436	394460	582.2	310	436	5890
457.3	12440	464.6	27980	464.6	1830	464.6	9.973	436.5	336470	582.3	400	436.5	5660
457.4	12520	464.8	27460	464.8	2110	464.8	10.01	437	307900	582.4	480	437	5140
457.5	12760	465	26790	465	2100	465	9.843	437.5	322540	582.5	580	437.5	5010
457.6	12430	465.2	27190	465.2	1950	465.2	9.862	438	346290	582.6	470	438	5380
457.7	12100	465.4	27390	465.4	2100	465.4	9.805	438.5	374530	582.7	440	438.5	5650
